bridge_id,degree,num_neighbors,component_increase,disconnected_nodes,k_hop_nodes,indirect_damage_score
BR_0293,2880,2880,1214,1214,2889,88.98740935532712
BR_0457,2747,2747,1099,1099,2766,81.75800076221802
BR_0384,3131,3131,911,911,3205,75.08484336130539
BR_0385,2254,2254,822,822,2283,62.85693813365282
BR_0294,2094,2094,565,565,2101,47.68625032705402
BR_0297,1023,1023,726,726,1035,47.40564532338012
BR_0213,3410,3410,305,305,3458,44.86951932608689
BR_0239,3132,3132,312,312,3208,43.02859899572588
BR_0337,4185,4185,0,0,4235,35.0
BR_0487,4014,4014,3,3,4063,33.73310192414762
BR_0434,2982,2982,107,107,3019,30.66508558280207
BR_0489,3641,3641,0,0,3712,30.544386006853138
BR_0383,3597,3597,0,0,3668,30.177982309347357
BR_0382,3499,3499,0,0,3565,29.344170850266956
BR_0393,3478,3478,0,0,3545,29.17284245756634
BR_0241,2960,2960,76,76,2987,28.78662043471634
BR_0198,3402,3402,0,0,3456,28.493864052912585
BR_0392,3386,3386,0,0,3450,28.396087337636466
BR_0391,3373,3373,0,0,3437,28.287831699737033
BR_0381,3279,3279,10,10,3324,27.973104376478474
BR_0390,3323,3323,0,0,3369,27.807634074428243
BR_0388,3269,3269,0,0,3302,27.311857518527372
BR_0240,3113,3113,21,21,3142,27.122987674149297
BR_0444,2657,2657,77,77,2713,26.419810225300672
BR_0488,3161,3161,0,0,3192,26.405410789704362
BR_0209,3122,3122,0,0,3157,26.094828273169178
BR_0441,1582,1582,237,237,1602,25.906963713774125
BR_0380,3025,3025,9,9,3056,25.75476835910316
BR_0646,2263,2263,121,121,2311,25.466311301871293
BR_0199,3032,3032,0,0,3088,25.419834249741015
BR_0628,1681,1681,210,210,1712,25.32474485847439
BR_0208,2949,2949,4,4,2990,24.889640188713948
BR_0594,2975,2975,0,0,3014,24.88489122639254
BR_0490,2913,2913,5,5,2994,24.785241326816017
BR_0486,2905,2905,4,4,2946,24.52323649120817
BR_0435,2904,2904,0,0,2944,24.297194995617183
BR_0200,2758,2758,0,0,2814,23.138138497091404
BR_0491,2719,2719,0,0,2764,22.774364491194518
BR_0627,2714,2714,0,0,2749,22.697266714479245
BR_0492,2702,2702,0,0,2745,22.62570722766754
BR_0461,2693,2693,0,0,2748,22.593314208303447
BR_0210,2650,2650,0,0,2714,22.26715276117619
BR_0396,2637,2637,0,0,2676,22.07024464100725
BR_0215,2551,2551,6,6,2589,21.67179791953598
BR_0406,2542,2542,0,0,2597,21.33588333731771
BR_0214,2545,2545,0,0,2582,21.297035620368156
BR_0216,2537,2537,0,0,2575,21.23396286556698
BR_0304,1939,1939,91,91,1964,21.080427130918626
BR_0278,423,423,326,326,428,20.9676046175762
BR_0211,2471,2471,0,0,2532,20.765917602996254
BR_0288,2468,2468,0,0,2523,20.71965893696709
BR_0493,2466,2466,1,1,2509,20.713993041839416
BR_0642,2371,2371,12,12,2426,20.55440944971822
BR_0173,2414,2414,0,0,2452,20.209697983903098
BR_0171,2411,2411,0,0,2449,20.184715913618618
BR_0172,2406,2406,0,0,2444,20.14307912981114
BR_0170,2406,2406,0,0,2444,20.14307912981114
BR_0494,2357,2357,7,7,2399,20.124017114853757
BR_0645,1550,1550,127,127,1572,19.75795940867319
BR_0238,1914,1914,67,67,1935,19.573050577485844
BR_0462,2328,2328,0,0,2358,19.465176508088295
BR_0397,2321,2321,0,0,2354,19.41752330863017
BR_0460,2306,2306,0,0,2361,19.37062714160491
BR_0484,2309,2309,0,0,2348,19.338871623236912
BR_0292,2145,2145,24,24,2171,19.212094060803892
BR_0485,2278,2278,2,2,2317,19.187807583399927
BR_0605,2253,2253,0,0,2281,18.83353255239461
BR_0464,801,801,226,226,816,18.796605477861213
BR_0644,2227,2227,0,0,2258,18.627659574468083
BR_0207,2126,2126,0,0,2175,17.850426328791137
BR_0291,1982,1982,20,20,2031,17.722127152829444
BR_0358,1788,1788,51,51,1812,17.67776976525496
BR_0408,2116,2116,0,0,2138,17.671408080325126
BR_0289,2103,2103,0,0,2154,17.665989321858316
BR_0495,2042,2042,9,9,2075,17.57606886113519
