Unnamed: 0,施設分類,管理事務所名,管理先電話番号,緯度,経度,施設名,施設名カナ,路線種別,路線名,所在地,橋梁の種類,架設年（西暦）,橋長（m）,幅員（m）,離島架橋,長大橋,特殊橋,重要物流道路,緊急輸送道路,跨線橋,跨道橋,その他,最新点検年度,健全度Ⅰ,健全度Ⅱ,健全度Ⅲ,健全度Ⅳ,2023年点検,2024年点検,2025年点検,2026年点検,2027年点検,最新補修年度,2023年補修,2024年補修,2025年補修,2026年補修,2027年補修,対策内容,橋梁管理カルテ,橋梁管理カルテURL,geometry,bridge_id,node_type,dist_to_river,dist_to_coast,betweenness,num_buildings,num_public_facilities,num_hospitals,num_schools,num_bus_stops,num_street_connections,importance_score_base,public_access_score,traffic_proxy_score,importance_score,importance_rank,importance_category,narrative
83-01-002140,橋梁,防府土木建築事務所,0835-22-3485,34.15963,131.44612,京面橋,ｷｮｳﾒﾝﾊﾞｼ,一般県道,宮野大歳線,山口市吉敷下東,PC床版橋,1966,25.5,18.4,,,,,○,,,,2020,,○,,,,,○,,,,,,,,,,,,POINT (14632515.145151535 4050256.6281502875),BR_0490,bridge,11.211013162331977,15690.44825409281,0.30317741236362294,0,0,0,0,0,2,100.0,0.0,100.0,80.0,1,high,【高重要度】高い重要度を持つ橋梁です（ランク1位、スコア80.0）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川を跨いでおり、洪水時の通行不能が広域の分断を引き起こす可能性があります。
83-01-001887,橋梁,防府土木建築事務所,0835-22-3485,34.1891,131.43107,吉敷2号B橋,ﾖｼｷ2ｺﾞｳBﾊｼ,一般国道,４３５号,山口市吉敷,PCボックス,不明,3.0,20.1,,,,,○,,,,2021,○,,,,,,,○,,,,,,,,,83-01-001887,https://bridge-karte.yamaguchi-infradb.jp/bridge-karte-20230131/83-01-001887_橋梁管理カルテ【吉敷2号B橋】.pdf,POINT (14630839.786815094 4054221.88702814),BR_0237,bridge,167.6110819100392,18999.80858234227,0.1624063229150335,0,0,0,0,0,2,53.568081358332755,0.0,100.0,52.14084881499965,2,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク2位、スコア52.1）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-001894,橋梁,防府土木建築事務所,0835-22-3485,34.19653,131.4173,吉敷畑1号B橋,ﾖｼｷﾊﾀ1ｺﾞｳBﾊｼ,一般国道,４３５号,山口市吉敷,PC床版橋,不明,2.3,50.1,,,,,○,,,,2021,○,,,,,,,○,,,,,,,,,83-01-001894,https://bridge-karte.yamaguchi-infradb.jp/bridge-karte-20230131/83-01-001894_橋梁管理カルテ【吉敷畑1号B橋】.pdf,POINT (14629306.917426871 4055221.829920809),BR_0244,bridge,513.9421385719598,19717.08809141504,0.1607244238271343,0,0,0,0,0,2,53.013323972290415,0.0,100.0,51.80799438337425,3,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク3位、スコア51.8）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-002419,橋梁,防府土木建築事務所,0835-22-3485,34.35908,131.66252,第三岡橋,ﾀﾞｲｻﾝｵｶﾊｼ,一般県道,篠目徳佐下線,山口市阿東地福,ボックスカルバート,1952,2.2,8.0,,,,,,,,○,2016,○,,,,○,,,,,,,,,,,,,,POINT (14656604.682959197 4077120.211839595),BR_0738,bridge,635.6997122198779,28145.635635189712,0.1601080871706431,0,0,0,0,0,2,52.81003156614244,0.0,100.0,51.68601893968547,4,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク4位、スコア51.7）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-002085,橋梁,防府土木建築事務所,0835-22-3485,34.09726,131.40226,昭和通り2号橋,ｼｮｳﾜﾄﾞｵﾘ2ｺﾞｳｷｮｳ,一般県道,江崎陶線,山口市小郡下郷,RC床版橋,1928,3.2,12.7,,,,,,,,○,2019,,○,,,,○,,,,,,,,,,,,,POINT (14627632.672285343 4041869.156387209),BR_0435,bridge,528.7932811735013,6261.038570220682,0.15830818677315528,0,0,0,0,0,2,52.21635264281649,0.0,100.0,51.329811585689896,5,medium,【中程度の重要度】中程度の重要度を持つ橋梁です（ランク5位、スコア51.3）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-002009,橋梁,防府土木建築事務所,0835-22-3485,34.2092,131.51509,七房橋,ｼﾁﾎﾞｳﾊｼ,一般県道,宮野上佐々並線,山口市宮野上,RC床版橋,1963,4.4,8.5,,,,,,,,○,2019,,○,,,,○,,,,,,,,,,,,,POINT (14640192.850431543 4056927.1847926616),BR_0359,bridge,3.057289183548004,23478.340018332747,0.15054264924237534,0,0,0,0,0,2,49.65496870915254,0.0,100.0,49.79298122549152,6,low,【低重要度】比較的重要度が低い橋梁です（ランク6位、スコア49.8）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川を跨いでおり、洪水時の通行不能が広域の分断を引き起こす可能性があります。
83-01-001874,橋梁,防府土木建築事務所,0835-22-3485,34.21317,131.5307,仁保地橋,ﾆﾎｼﾞﾊｼ,一般国道,３７６号,山口市宮野上,RC床版橋,1969,3.8,10.1,,,,,○,,,,2019,○,,,,○,,,,,,,,,,,,,,POINT (14641930.54768283 4057461.591039964),BR_0224,bridge,80.20728910665109,24385.76134333615,0.1331321301103928,0,0,0,0,0,2,43.91228524330752,0.0,100.0,46.34737114598451,7,low,【低重要度】比較的重要度が低い橋梁です（ランク7位、スコア46.3）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川に近接しており、洪水リスクに留意が必要です。
83-01-002034,橋梁,防府土木建築事務所,0835-22-3485,34.17017,131.45632,朝倉橋,ｱｻｸﾗﾊｼ,一般県道,陶湯田線,山口市湯田温泉,PC床版橋,1998,7.4,16.8,,,,,,,,○,2019,○,,,,,○,,,,,,,,,,,,,POINT (14633650.603957627 4051674.6512706107),BR_0384,bridge,525.5849456096146,17434.94355690559,0.12222279606385628,0,0,0,0,0,2,40.31395185775433,0.0,100.0,44.1883711146526,8,low,【低重要度】比較的重要度が低い橋梁です（ランク8位、スコア44.2）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-002046,橋梁,防府土木建築事務所,0835-22-3485,34.09665,131.40392,昭和通り三号橋,ｼｮｳﾜﾄﾞｵﾘｻﾝｺﾞｳｷｮｳ,一般県道,山口阿知須宇部線,山口市小郡下郷,RC床版橋,1928,4.3,14.3,,,,,,,,○,2019,,○,,,,○,,,,,,,,,,,,,POINT (14627817.462640056 4041787.15457723),BR_0396,bridge,328.9458980817809,6210.284047659893,0.11960011435843992,0,0,0,0,0,2,39.44888685011755,0.0,100.0,43.66933211007053,9,low,【低重要度】比較的重要度が低い橋梁です（ランク9位、スコア43.7）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。
83-01-001878,橋梁,防府土木建築事務所,0835-22-3485,34.21412,131.54662,仁保市橋側道橋,ﾆﾎｲﾁﾊｼｿｸﾄﾞｳｷｮｳ,一般国道,３７６号,山口市仁保下郷,PCT桁橋,1979,13.7,3.0,,,,,○,,,,2019,○,,,,○,,,,,,,,,,,,,,POINT (14643702.753976258 4057589.4753612424),BR_0228,bridge,14.014758673012514,24315.281457509813,0.11562385295718014,0,0,0,0,0,2,38.13735728389421,0.0,100.0,42.88241437033653,10,low,【低重要度】比較的重要度が低い橋梁です（ランク10位、スコア42.9）。 この橋梁は、多数の交通経路が通過する重要な結節点であり、通行不能になると広範囲に影響が及びます。 河川を跨いでおり、洪水時の通行不能が広域の分断を引き起こす可能性があります。
