bridge_id,degree,num_neighbors,buildings,bus_stops,component_increase,facility_name,importance_score,importance_rank,importance_category
BR_0490,2913,2913,0,0,5,京面橋,80.0,1,high
BR_0359,1058,1058,0,0,71,七房橋,56.95283526305427,2,medium
BR_0224,79,79,0,0,19,仁保地橋,53.30444561652601,3,medium
BR_0239,3132,3132,0,0,312,吉敷1号B橋,52.22781031027667,4,medium
BR_0237,399,399,0,0,140,吉敷2号B橋,52.18778139562969,5,medium
BR_0244,65,65,0,0,4,吉敷畑1号B橋,51.79739605203216,6,medium
BR_0228,496,496,0,0,0,仁保市橋側道橋,51.52489103553314,7,medium
BR_0738,398,398,0,0,7,第三岡橋,51.25808592921038,8,medium
BR_0435,2904,2904,0,0,0,昭和通り2号橋,49.7614353577324,9,low
BR_0232,560,560,0,0,0,大影橋,45.79282066225797,10,low
BR_0384,3131,3131,0,0,911,朝倉橋,45.65244574829812,11,low
BR_0032,19,19,0,0,5,奥開作1号B橋,43.94905015774697,12,low
BR_0234,79,79,0,0,0,水谷橋,43.91210521209565,13,low
BR_0009,26,26,0,0,0,奥開作B橋,43.90416963333851,14,low
BR_0236,19,19,0,0,1,坂本1号橋,43.861148683730974,15,low
BR_0011,36,36,0,0,0,堀2号橋,43.28150041359869,16,low
BR_0396,2637,2637,0,0,0,昭和通り三号橋,42.243540084388485,17,low
BR_0017,303,303,0,0,0,漆尾橋,38.65416790957536,18,low
BR_0238,1914,1914,0,0,67,赤田橋,37.09804228561662,19,low
BR_0297,1023,1023,0,0,726,下八方原B橋,36.98534369504199,20,low
BR_0018,314,314,0,0,0,第一庄方B橋,36.86302128252019,21,low
BR_0614,2025,2025,0,0,0,大内御堀1号B橋,36.65081245658816,22,low
BR_0293,2880,2880,0,0,1214,岸の下橋,36.49740380374284,23,low
BR_0744,293,293,0,0,4,曽根3号B橋,36.45163319072182,24,low
BR_0739,500,500,0,0,17,熊ヶ瀬橋,34.42531512305823,25,low
BR_0204,2083,2083,0,0,0,御堀橋,34.308299811653626,26,low
BR_0022,736,736,0,0,0,出雲合橋側道橋,33.40754267219228,27,low
BR_0373,913,913,0,0,0,免地橋,33.13553911406653,28,low
BR_0621,406,406,0,0,0,秋穂東B橋,32.91720831716072,29,low
BR_0049,544,544,0,0,25,才谷B橋①,32.761743684984964,30,low
BR_0383,3597,3597,0,0,0,下榎B橋,32.51693588597004,31,low
BR_0210,2650,2650,0,0,0,上沼橋,32.1727682891097,32,low
BR_0024,62,62,0,0,45,鳴谷橋,31.51908804780236,33,low
BR_0735,184,184,0,0,30,阿武橋,31.486597724033672,34,low
BR_0193,522,522,0,0,1,観音原B橋,31.414191313751985,35,low
BR_0441,1582,1582,0,0,237,嘉川橋,31.40606768810487,36,low
BR_0734,201,201,0,0,14,高巣B橋,31.30616046486863,37,low
BR_0025,183,183,0,0,20,山畑橋,30.95436652191467,38,low
BR_0178,1219,1219,0,0,0,長野大橋（下り）,30.899344001906652,39,low
BR_0222,482,482,0,0,72,上鯖山B橋,30.52943069639823,40,low
BR_0447,98,98,0,0,0,東天田B橋,30.184170338166112,41,low
